id	train	test
80323	True	False
80344	True	False
80353	False	True
80359	True	False
80394	True	False
80410	True	False
80448	True	False
80506	True	False
80530	True	False
80604	True	False
80660	True	False
80756	True	False
80781	True	False
80890	True	False
80937	True	False
80965	True	False
80988	False	True
80989	True	False
80997	True	False
81006	True	False
81033	True	False
81205	True	False
81251	True	False
81254	True	False
81255	True	False
81258	True	False
81259	True	False
81262	True	False
81265	True	False
81266	True	False
81268	True	False
81274	True	False
81277	True	False
81279	True	False
81281	True	False
81285	True	False
81286	True	False
81287	True	False
81288	True	False
81289	False	True
81290	True	False
81295	True	False
81297	True	False
81298	True	False
81299	True	False
81300	True	False
81301	True	False
81302	True	False
81304	False	True
81314	True	False
81317	True	False
81318	True	False
81319	True	False
81321	True	False
81322	True	False
81324	True	False
81329	True	False
81342	True	False
81346	True	False
81347	True	False
81352	True	False
81357	False	True
81368	True	False
81385	True	False
81387	True	False
81402	True	False
81404	False	True
81409	True	False
81420	False	True
81423	True	False
81424	True	False
81430	True	False
81433	True	False
81435	False	True
81436	False	True
81442	False	True
81447	True	False
81452	True	False
81456	True	False
81457	True	False
81458	True	False
81459	False	True
81461	True	False
81462	True	False
81463	True	False
81465	True	False
81467	True	False
81468	True	False
81471	True	False
81472	True	False
81473	True	False
81474	True	False
81476	True	False
81477	True	False
81478	True	False
81481	True	False
81482	True	False
81483	True	False
81484	True	False
81486	True	False
81487	True	False
81489	False	True
81490	False	True
81491	True	False
81492	True	False
81493	True	False
81494	True	False
81495	True	False
81496	True	False
81497	False	True
81498	True	False
81499	True	False
81502	True	False
81504	True	False
81506	True	False
81508	False	True
81509	True	False
81510	True	False
81511	True	False
81512	False	True
81517	True	False
81518	True	False
81519	False	True
81520	True	False
81528	True	False
81530	True	False
81531	True	False
81534	True	False
81535	True	False
81536	True	False
81537	True	False
81539	True	False
81544	True	False
81545	True	False
81547	True	False
81548	True	False
81554	True	False
81563	True	False
81565	True	False
81567	True	False
81568	True	False
81570	False	True
81575	True	False
81577	True	False
81584	True	False
81589	False	True
81590	True	False
81591	True	False
81597	True	False
81600	True	False
81601	True	False
81602	True	False
81604	True	False
81606	True	False
81607	True	False
81608	True	False
81609	True	False
81610	True	False
81611	True	False
81612	True	False
81613	True	False
81615	True	False
81616	True	False
81618	True	False
81621	True	False
81622	True	False
81623	True	False
81627	True	False
81629	True	False
81631	True	False
81634	True	False
81635	True	False
81636	True	False
81637	True	False
81638	True	False
81641	True	False
81643	True	False
81645	True	False
81651	False	True
81653	True	False
81654	True	False
81657	True	False
81659	True	False
81661	False	True
81664	True	False
81666	True	False
81667	True	False
81670	True	False
81671	True	False
81673	True	False
81674	True	False
81676	True	False
81677	False	True
81679	True	False
81680	True	False
81681	True	False
81683	True	False
81685	True	False
81688	True	False
81690	True	False
81691	True	False
81693	True	False
81694	True	False
81695	True	False
81696	True	False
81697	True	False
81700	True	False
81702	True	False
81708	True	False
81709	True	False
81710	True	False
81713	True	False
81716	True	False
81717	True	False
81719	True	False
81721	True	False
81722	True	False
81726	True	False
81728	True	False
81729	True	False
81730	True	False
81731	True	False
81737	True	False
81740	True	False
81741	True	False
81742	True	False
81743	True	False
81744	True	False
81745	True	False
81746	True	False
81747	True	False
81752	True	False
81753	True	False
81754	True	False
81756	True	False
81757	True	False
81758	True	False
81759	True	False
81761	True	False
81762	True	False
81763	True	False
81764	True	False
81766	True	False
81767	False	True
81772	True	False
81773	True	False
81779	True	False
81780	True	False
81783	True	False
81788	True	False
81792	True	False
81794	True	False
81795	True	False
81798	True	False
81799	True	False
81804	True	False
81805	True	False
81808	True	False
81810	True	False
81811	True	False
81813	False	True
81814	True	False
81815	True	False
81816	True	False
81817	True	False
81818	True	False
81820	False	True
81821	False	True
81825	True	False
81827	False	True
81865	True	False
81869	True	False
81874	True	False
81886	True	False
81887	True	False
81888	True	False
81891	True	False
81896	True	False
81897	True	False
81898	True	False
81902	True	False
81903	True	False
81904	True	False
81905	True	False
81906	True	False
81907	True	False
81908	True	False
81909	False	True
81910	True	False
81911	False	True
81912	True	False
81913	True	False
81916	True	False
81917	True	False
81919	True	False
81956	True	False
81957	False	True
81958	True	False
81959	True	False
81960	True	False
